검색조건
대출기간,2020-01-01 ~ 2020-01-30
성별,전체
연령,전체
지역,전체
ISBN 부가기호,전체
주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2020-01-30
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"66","방구석 미술관 :가볍고 편하게 시작하는 유쾌한 교양 미술 ","조원재 지음","백도씨","2018","","9788968331862","03600","650.4","826",
"66","(흥분하지 않고 우아하게 리드하는) 말센스 ","셀레스트 헤들리 지음 ;김성환 옮김","스몰빅미디어","2019","","9791187165460","03190","802.56","826",
"68","자존감 수업 :하루에 하나, 나를 사랑하게 되는 자존감 회복 훈련 ","윤홍균 지음","심플라이프","2016","","9791186757093","03190","182.1","823",
"69","지쳤거나 좋아하는 게 없거나","글배우","강한별","2019","","9791196797706","","","822",
"70","시간을 파는 상점 :김선영 장편소설 ","지은이: 김선영","자음과모음","2012","","9788954427173","43810","813.7","820",
"71","창문 넘어 도망친 100세 노인 :요나스 요나손 장편소설 ","지은이: 요나스 요나손 ;옮긴이: 임호경","열린책들","2013","","9788932916194","03850","859.7","815",
"72","2020 부의 지각변동 :미래가 보내온 7개의 시그널! 무너질 것인가, 기회를 만들 것인가 ","박종훈 지음","21세기북스","2019","","9788950981983","03320","321.97","811",
"73","죽음 :베르나르 베르베르 장편소설 ","지은이: 베르나르 베르베르 ;옮긴이: 전미연","열린책들","2019","2","9788932919683","04860","863","809",
"73","아홉 살 마음 사전","박성우 (지은이), 김효은 (그림)","창비","2017","","9788936447014","","","809",
"75","알사탕","백희나 (지은이)","책읽는곰","2017","","9791158360375","","","804",
"76","(설민석의) 삼국지 :누구나 쉽게 시작하고 모두가 빠져드는 이야기 ","지은이: 설민석","세계사","2019","2","9788933870839","04000","823.5","801",
"76","가면산장 살인사건 ","지은이: 히가시노 게이고 ;옮긴이: 김난주","재인","2014","","9788990982575","03830","833.6","801",
"78","내게 무해한 사람 :최은영 소설 ","지은이: 최은영","문학동네","2018","","9788954651820","03810","813.7","799",
"79","마법의 설탕 두 조각","미카엘 엔데 글;유혜자 옮김","한길사","2001","","9788935652792","74850","853","797",
"79","추리 천재 엉덩이 탐정과 카레 사건","트롤 (지은이), 김정화 (옮긴이)","아이세움","2019","1","9791164130764","","","797",
"79","12가지 인생의 법칙 :혼돈의 해독제 ","조던 B. 피터슨 지음 ;강주헌 옮김","메이븐","2018","","9791196067694","03180","199.1","797",
"82","날씨가 좋으면 찾아가겠어요 :이도우 장편소설 ","지은이: 이도우","시공사","2018","","9788952791160","04810","813.7","796",
"83","총, 균, 쇠:무기·병균·금속은 인류의 운명을 어떻게 바꿨는가","재레드 다이아몬드 지음;김진준 옮김","문학사상사","2006","","9788970127248","03900","389","794",
"84","놓지 마 과학!","글·그림: 신태훈,나승훈","위즈덤하우스","2016-2019","2","9788960869929","67400","408","793",
"85","지구에서 한아뿐 :정세랑 장편소설 ","지은이: 정세랑","난다","2019","","9791188862290","03810","813.7","788",
"86","가재가 노래하는 곳 :델리아 오언스 장편소설 ","지은이: 델리아 오언스 ;옮긴이: 김선형","살림출판사","2019","","9788952240569","03840","843.6","787",
"87","Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화","글: 김미영 ;그림: 김정한","북이십일","2018-2019","4","9788950977405","74900","980.2","784",
"87","오직 두 사람 :김영하 소설 ","지은이: 김영하","문학동네","2017","","9788954645614","03810","813.7","784",
"89","포노 사피엔스 =스마트폰이 낳은 신인류 /Phono sapiens ","최재붕 지음","쌤앤파커스","2019","","9788965707691","03320","331.5412","778",
"89","말의 품격 :말과 사람과 품격에 대한 생각들 ","이기주 지음","황소북스","2017","","9788997092772","03810","818","778",
"91","우리가 빛의 속도로 갈 수 없다면 :김초엽 소설 ","지은이: 김초엽","허블","2019","","9791190090018","03810","813.7","777",
"92","유럽도시기행","지은이: 유시민","아름다운사람들","2019","1","9788965135586","03900","982.02","773",
"92","설민석의 세계사 대모험 2 - 히틀러의 두 얼굴","설민석, 잼 스토리 (지은이), 박성일 (그림)","단꿈아이","2019","2","9791189001278","","","773",
"94","수박 수영장 :안녕달 그림책 ","지은이: 안녕달","창비","2015","","9788936446819","77810","813.7","772",
"94","에이트 =인공지능에 대체되지 않는 나를 만드는 법 /Eight ","이지성 지음","차이정원","2019","","9791188388905","03320","331.5412","772",
"96","Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화","글: 김미영 ;그림: 김정한","북이십일","2018-2019","5","9788950978358","74900","980.2","771",
"97","(지랄발랄 하은맘의) 십팔년 책육아 ","김선미 지음","RHK(알에이치코리아)","2019","","9788925567921","13370","598.1","770",
"98","놓지 마 과학!","글·그림: 신태훈,나승훈","위즈덤하우스","2016-2019","4","9788960863545","67400","408","768",
"99","개인주의자 선언 :판사 문유석의 일상유감 ","지은이: 문유석","문학동네","2015","","9788954637756","03300","304","767",
"100","일의 기쁨과 슬픔 :장류진 소설집 ","지은이: 장류진","창비","2019","","9788936438036","03810","813.7","766",
"101","Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화","글: 김미영 ;그림: 김정한","북이십일","2018-2019","7","9788950980214","74900","980.2","764",
"102","오베라는 남자 :프레드릭 배크만 장편소설 ","지은이: 프레드릭 배크만 ;옮긴이: 최민우","다산북스","2015","","9791130605210","03850","859.7","763",
"103","기도의 막이 내릴 때 ","지은이: 히가시노 게이고 ;옮긴이: 김난주","재인","2019","","9788990982780","03830","833.6","762",
"104","Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화","글: 김미영 ;그림: 김정한","북이십일","2018-2019","6","9788950979317","74900","980.2","760",
"105","놓지 마 과학!","글·그림: 신태훈,나승훈","위즈덤하우스","2016-2019","6","9791162202425","67400","408","758",
"106","놓지 마 과학!","글·그림: 신태훈,나승훈","위즈덤하우스","2016-2019","5","9788960867093","67400","408","754",
"107","(이상한 과자 가게) 전천당","히로시마 레이코 글;김정화 옮김","길벗스쿨","2019","1","9791164060481","74830","833.6","746",
"108","Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화","글: 김미영 ;그림: 김정한","북이십일","2018-2019","1","9788950973353","74900","980.2","745",
"108","Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화","글: 김미영 ;그림: 김정한","북이십일","2018-2019","2","9788950974329","74900","980.2","745",
"110","당신은 뇌를 고칠 수 있다 :매주 1시간 투자하여 최상의 기억력, 생산성, 수면을 얻는 법 ","톰 오브라이언 지음 ;이시은 옮김","로크미디어","2019","","9791135442414","03510","511.1813","742",
"111","디디의 우산 :황정은 연작소설 ","지은이: 황정은","창비","2019","","9788936437541","03810","813.7","741",
"111","Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화","글: 김미영 ;그림: 김정한","북이십일","2018-2019","8","9788950981150","74900","980.2","741",
"113","7년의 밤 :정유정 장편소설 ","지은이: 정유정","은행나무","2011","","9788956604992","03810","813.7","739",
"113","흔한남매 1","흔한남매 (지은이), 백난도 (글), 유난희 (그림), 샌드박스 네트워크 (감수)","아이세움","2019","1","9791164131686","","","739",
"115","골든아워 :생과 사의 경계, 중증외상센터의 기록 ","지은이: 이국종","흐름출판","2018","1","9788965962823","04810","510.4","738",
"116","Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화","글: 김미영 ;그림: 김정한","북이십일","2018-2019","3","9788950976118","74900","980.2","737",
"116","놓지 마 과학!","글·그림: 신태훈,나승훈","위즈덤하우스","2016-2019","3","9788960863163","67400","408","737",
"118","놓지 마 과학!","글·그림: 신태훈,나승훈","위즈덤하우스","2016-2019","1","9788960869646","67400","408","735",
"119","놓지 마 과학!","글·그림: 신태훈,나승훈","위즈덤하우스","2016-2019","8","9791162207031","67400","408","733",
"120","무례한 사람에게 웃으며 대처하는 법 :인생 자체는 긍정적으로 개소리에는 단호하게 ","정문정 지음","가나문화콘텐츠","2018","","9788957369364","03810","189.2","731",
"121","숨 :테드 창 소설 ","지은이: 테드 창 ;옮긴이: 김상훈","북하우스 퍼블리셔스","2019","","9791164050277","03840","843.6","730",
"122","104층 나무 집","앤디 그리피스 (지은이), 테리 덴톤 (그림), 신수진 (옮긴이)","시공주니어","2019","","9788952795090","","","727",
"123","흔한남매 2","흔한남매 (지은이), 백난도 (글), 유난희 (그림), 샌드박스 네트워크 (감수)","아이세움","2019","2","9791164132454","","","725",
"124","코스모스 :특별판 ","칼 세이건 지음 ;홍승수 옮김","사이언스북스","2006","","9788983711892","03400","443.1","724",
"125","놓지 마 과학!","글·그림: 신태훈,나승훈","위즈덤하우스","2016-2019","10","9791189938208","67400","408","723",
"126","살인 현장은 구름 위 ","지은이: 히가시노 게이고 ;옮긴이: 김난주","재인","2019","","9788990982810","03830","833.6","715",
"127","지금 이대로 좋다 ","법륜 지음 ;박정은 그림","정토출판","2019","","9791187297239","03810","199.1","714",
"128","검사내전 :생활형 검사의 사람 공부, 세상 공부 ","김웅 지음","부·키","2018","","9788960516175","03300","367.204","711",
"128","라플라스의 마녀 :히가시노 게이고 장편소설 ","지은이: 히가시노 게이고 ;옮긴이: 양윤옥","현대문학","2016","","9788972757573","03830","833.6","711",
"130","놓지 마 과학!","글·그림: 신태훈,나승훈","위즈덤하우스","2016-2019","9","9791162203149","67400","408","710",
"131","놓지 마 과학! 7 - 정신이 모험에 정신 놓다","신태훈|나승훈","위즈덤하우스","2018","7","9791162205624","","","704",
"132","바다 100층짜리 집 ","글·그림: 이와이 도시오 ;옮김: 김숙","북뱅크","2014","","9788966350278","74830","833.6","697",
"132","하늘 100층짜리 집 ","글·그림: 이와이 도시오 ;옮김: 김숙","북뱅크","2017","","9788966350759","74830","833.6","697",
"134","(이상한 과자 가게) 전천당","히로시마 레이코 글;김정화 옮김","길벗스쿨","2019","2","9791164060498","74830","833.6","694",
"135","91층 나무 집 ","앤디 그리피스 글 ;신수진 옮김","시공사","2018","","9788952786470","74840","843","690",
"136","핵을 들고 도망친 101세 노인 :요나스 요나손 장편소설 ","지은이: 요나스 요나손 ;옮긴이: 임호경","열린책들","2019","","9788932919874","03850","859.7","682",
"137","넛지 :똑똑한 선택을 이끄는 힘 ","리처드 탈러,안진환 옮김","웅진씽크빅","2009","","9788901093154","03320","321.89","677",
"137","Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화","글: 김미영 ;그림: 김정한","북이십일","2018-2019","9","9788950982188","74900","980.2","677",
"139","마법천자문 :손오공의 한자 대탐험","저자: 스튜디오시리얼,홍거북","아울북","2005-2019","44","9788950979300","77720","711.4","666",
"139","돈의 감각 =절호의 투자 타이밍을 귀신같이 눈치채는 비결 /The sense of money ","이명로 지음","비즈니스북스","2019","","9791162540985","03320","327.8","666",
"141","호모 데우스 :미래의 역사 ","지은이: 유발 하라리 ;옮긴이: 김명주","김영사","2017","","9788934977841","03900","331.544","665",
"142","장수탕 선녀님 ","지은이: 백희나","책읽는곰","2012","","9788993242706","77810","813.7","660",
"143","이상한 엄마 ","백희나","책읽는곰","2016","","9791158360214","77810","813.7","659",
"144","마법천자문 :손오공의 한자 대탐험","저자: 스튜디오시리얼,홍거북","아울북","2005-2019","45","9788950980801","77720","711.4","658",
"144","부의 추월차선 :부자들이 말해 주지 않는 진정한 부를 얻는 방법 ","엠제이 드마코 지음 ;신소영 옮김","북새통","2013","","9788994702346","13320","327.04","658",
"146","작가들의 비밀스러운 삶","기욤 뮈소 (지은이), 양영란 (옮긴이)","밝은세상","2019","","9788984373853","","","657",
"147","위저드 베이커리 =구병모 장편소설 /Wizard bakery ","지은이: 구병모","창비","2009","","9788936433697","03810","813.7","654",
"148","마력의 태동 :히가시노 게이고 소설 ","지은이: 히가시노 게이고 ;옮긴이: 양윤옥","현대문학","2019","","9788972759546","03830","833.6","651",
"148","파리의 아파트 :기욤 뮈소 장편소설 ","지은이: 기욤 뮈소 ;옮긴이: 양영란","밝은세상","2017","","9788984373358","03860","863","651",
